user_id,job_id,action,timestamp_days_ago
39,985,view,22
4,318,view,68
23,197,view,36
32,133,view,8
13,377,view,71
30,601,view,76
34,66,apply,50
32,758,view,65
19,460,view,13
38,793,apply,30
36,463,view,31
16,155,view,68
36,21,view,31
45,556,view,65
40,539,view,27
36,813,apply,54
38,877,save,18
40,161,view,50
14,314,view,7
36,207,save,66
9,106,view,2
17,2,save,89
46,82,view,75
14,524,save,52
42,151,save,81
21,194,view,72
10,117,view,12
4,724,save,66
27,635,view,33
22,962,view,77
25,111,view,77
2,208,view,85
13,455,view,40
0,649,view,17
15,130,view,11
46,211,save,14
7,421,view,89
34,18,view,52
0,395,view,31
28,758,save,40
46,526,view,15
17,434,save,51
9,487,view,38
28,946,view,71
13,520,apply,1
44,534,save,83
42,930,view,5
32,157,view,37
31,95,view,30
30,449,view,64
36,318,save,59
23,202,save,17
48,119,view,44
17,878,view,48
0,614,view,41
34,690,view,1
33,118,save,16
49,341,view,45
19,620,view,23
21,527,view,49
28,694,apply,14
19,669,view,66
39,413,view,16
21,782,view,58
39,259,view,75
21,80,view,32
11,913,view,12
49,22,view,0
26,283,view,32
35,114,save,10
29,231,view,79
17,394,view,87
48,129,view,88
18,466,save,83
49,927,save,52
21,136,save,29
1,926,view,40
1,411,view,23
48,592,view,75
26,441,view,39
19,316,view,34
40,109,view,62
30,593,view,33
33,916,view,32
34,520,view,20
9,599,view,6
4,643,save,3
36,388,view,36
1,120,save,89
35,506,view,23
6,868,save,57
13,314,save,29
35,871,view,27
31,854,apply,14
39,244,view,50
30,575,view,59
2,747,save,31
41,494,view,47
10,699,view,42
6,910,view,24
43,627,view,62
9,837,view,49
26,800,view,5
24,812,view,44
38,852,view,35
2,225,view,71
5,18,view,27
20,153,view,86
23,249,view,55
39,690,view,11
30,509,save,36
7,468,apply,79
48,9,view,22
22,683,view,63
48,364,save,70
49,760,save,62
2,112,view,8
25,295,view,33
21,54,view,31
24,284,view,30
15,923,apply,79
27,490,view,0
24,439,view,48
9,273,view,88
14,264,save,78
7,667,view,54
42,985,save,89
33,746,view,36
19,736,view,55
19,472,view,48
3,98,view,4
14,723,apply,3
46,808,view,80
1,510,view,15
7,91,view,31
42,712,view,56
26,921,view,51
1,224,save,46
24,159,view,88
37,738,view,70
17,331,view,84
19,715,view,59
31,703,view,88
29,266,view,54
45,42,view,48
12,555,save,73
13,407,save,78
7,855,save,6
33,357,view,81
26,249,view,62
17,860,save,80
