job_id,title,description,category,seniority,location,skills,salary_min,salary_max,posted_days_ago
0,software_engineer_0,role description 0,software,staff,"Austin, TX, USA","tf,aws,kubernetes,rust",78573,198635,2
1,frontend_engineer_1,role description 1,frontend,senior,"NYC, NY, USA","ml,react,go",77783,170533,56
2,frontend_engineer_2,role description 2,frontend,senior,"Remote, , ","react,java,aws",80794,162199,45
3,devops_engineer_3,role description 3,devops,staff,"Remote, , ","sql,kubernetes,react",78107,135028,9
4,devops_engineer_4,role description 4,devops,junior,"London, , UK","go,java",87431,151893,4
5,ml_engineer_5,role description 5,ml,staff,"NYC, NY, USA","aws,sql,python,kubernetes",62452,188667,7
6,software_engineer_6,role description 6,software,staff,"Remote, , ","react,sql",76511,150562,22
7,frontend_engineer_7,role description 7,frontend,senior,"NYC, NY, USA","aws,sql",78881,124268,48
8,data_engineer_8,role description 8,data,senior,"London, , UK","sql,tf,go,ml",69200,139610,9
9,software_engineer_9,role description 9,software,senior,"Berlin, , Germany","kubernetes,sql,react,go",112674,167617,49
10,devops_engineer_10,role description 10,devops,mid,"Remote, , ","sql,go,ml",100529,170328,0
11,ml_engineer_11,role description 11,ml,staff,"Remote, , ","aws,python",114719,198705,44
12,frontend_engineer_12,role description 12,frontend,junior,"NYC, NY, USA","rust,ml",93694,194708,16
13,frontend_engineer_13,role description 13,frontend,mid,"Austin, TX, USA","java,rust",66578,162520,57
14,frontend_engineer_14,role description 14,frontend,senior,"Berlin, , Germany","kubernetes,go,java",114277,164360,28
15,frontend_engineer_15,role description 15,frontend,staff,"SF, CA, USA","java,sql",87483,184053,16
16,devops_engineer_16,role description 16,devops,mid,"Remote, , ","react,go,java",101065,123891,14
17,software_engineer_17,role description 17,software,mid,"London, , UK","sql,java",82880,167614,49
18,ml_engineer_18,role description 18,ml,junior,"London, , UK","python,sql,aws",89657,157920,24
19,devops_engineer_19,role description 19,devops,junior,"Remote, , ","tf,rust,java,ml",89361,182647,21
20,devops_engineer_20,role description 20,devops,junior,"SF, CA, USA","go,ml,react",77082,184028,44
21,data_engineer_21,role description 21,data,junior,"Berlin, , Germany","rust,go,aws",93283,172447,32
